record_number,region,residence_type,family_composition,sex,age,marital_status,student,country_of_birth,health,ethnic_group,religion,economic_activity,occupation,industry,hours_worked_per_week,approximate_social_grade
57621,S92000003,P,0,2,6,2,2,1,3,1,9,5,X,X,X,4
57778,S92000003,C,X,1,8,5,2,1,5,1,2,5,X,X,X,X
57959,S92000003,P,2,1,2,1,2,1,1,1,1,3,X,X,X,4
57981,S92000003,P,4,2,2,1,2,1,1,1,2,3,X,X,X,4
58074,S92000003,P,3,1,2,1,1,2,2,4,2,4,X,X,X,3
58094,S92000003,P,1,2,2,1,1,1,1,1,1,4,X,X,X,3
58492,S92000003,P,1,2,7,2,2,1,2,1,2,5,X,X,X,4
58512,S92000003,P,5,1,3,1,1,2,1,3,6,4,X,X,X,2
58545,S92000003,P,0,1,8,1,2,1,5,1,9,5,X,X,X,4
58567,S92000003,P,0,2,8,2,2,1,5,1,2,5,X,X,X,4
58639,S92000003,P,1,2,8,2,2,1,2,1,2,5,X,X,X,4
58697,S92000003,P,1,1,2,1,2,1,1,1,1,3,X,X,X,2
58871,S92000003,P,0,2,7,5,2,1,3,1,2,5,X,X,X,4
58918,S92000003,P,4,2,2,1,1,2,1,1,1,4,X,X,X,2
59175,S92000003,P,3,1,2,1,2,1,1,1,1,3,X,X,X,4
59179,S92000003,P,2,2,2,1,1,1,3,1,1,4,X,X,X,2
59454,S92000003,P,0,2,2,1,1,1,2,1,1,4,X,X,X,2
59569,S92000003,C,X,2,8,5,2,1,3,1,2,5,X,X,X,X
59673,S92000003,C,X,1,2,1,1,1,1,1,1,4,X,X,X,X
59813,S92000003,C,X,2,8,5,2,1,4,1,2,5,X,X,X,X
59817,S92000003,P,4,2,3,1,2,1,1,1,1,3,X,X,X,4
59827,S92000003,P,0,2,8,5,2,1,2,1,2,5,X,X,X,4
59839,S92000003,P,4,2,2,1,1,1,2,1,2,4,X,X,X,4
59843,S92000003,P,4,1,2,1,2,1,1,1,1,3,X,X,X,2
59982,S92000003,P,0,1,2,1,2,1,1,1,2,3,X,X,X,4
60228,S92000003,P,0,1,3,1,1,2,1,4,2,4,X,X,X,2
60229,S92000003,P,1,2,2,1,1,2,1,4,2,4,X,X,X,1
60267,S92000003,P,4,2,2,1,2,1,1,1,1,3,X,X,X,4
60294,S92000003,C,X,2,8,2,2,1,3,1,9,5,X,X,X,X
60377,S92000003,P,3,2,2,1,2,1,1,1,2,3,X,X,X,4
60409,S92000003,P,2,1,2,1,1,2,1,1,1,4,X,X,X,1
60436,S92000003,P,0,2,8,1,2,1,2,1,9,5,X,X,X,4
60461,S92000003,P,1,2,8,2,2,1,1,1,2,5,X,X,X,4
60463,S92000003,C,X,2,7,3,2,1,3,1,9,5,X,X,X,X
60469,S92000003,P,1,1,2,1,2,2,1,1,2,3,X,X,X,1
60558,S92000003,C,X,2,7,5,2,1,3,1,2,5,X,X,X,X
60613,S92000003,P,1,1,2,1,2,1,3,1,1,3,X,X,X,4
60634,S92000003,P,4,1,2,1,2,2,3,1,1,3,X,X,X,2
60847,S92000003,P,4,1,2,1,1,1,1,1,1,4,X,X,X,2
61026,S92000003,P,4,2,2,1,1,2,1,1,2,4,X,X,X,4
61091,S92000003,P,2,2,2,1,1,1,1,1,2,4,X,X,X,4
61453,S92000003,P,0,2,8,5,2,1,1,1,2,5,X,X,X,4
61534,S92000003,P,0,2,8,5,2,1,3,1,2,5,X,X,X,4
61640,S92000003,P,1,2,2,1,1,1,2,1,2,4,X,X,X,2
61658,S92000003,P,4,2,2,1,2,1,1,1,2,3,X,X,X,4
